mesozone,sqmi
1,36.02244506
2,36.03692244
3,35.98683417
4,36.29738842
5,15.67286151
6,33.7087267
7,30.87110007
8,28.1939901
9,27.30045186
10,28.05591203
11,5.352388682
12,37.20376606
13,36.81707139
14,15.27694975
15,36.22221958
16,36.87448151
17,23.16574951
18,35.78938106
19,36.52764717
20,37.00590677
21,21.06816349
22,36.53427091
23,36.35570074
24,50.43876361
25,36.46645802
26,37.79370925
27,47.48838668
28,36.5933915
29,46.85779063
30,32.96503582
31,33.3675265
32,32.49921607
33,43.49411341
34,36.02307873
35,35.95822509
36,35.99126164
37,48.24309952
38,35.92113842
39,35.98760906
40,36.25358836
41,48.31074933
42,36.04218659
43,35.98018654
44,36.0750679
45,47.97995568
46,22.42650219
47,33.22190826
48,33.27357057
49,22.93381698
50,24.23340347
51,35.70713057
52,36.78190771
53,21.08612488
54,23.99648308
55,35.73386019
56,36.58780759
57,17.70460346
58,24.13625763
59,35.95850818
60,36.15834636
61,29.82392089
62,35.93563917
63,36.34535478
64,35.98236354
65,33.80631201
66,33.48053432
67,32.63176447
68,35.03529818
69,35.17488815
70,34.81548232
71,35.13305247
72,35.01125818
73,35.03385928
74,35.16936482
75,35.18698619
76,35.2997405
77,36.49798348
78,35.53792916
79,34.69643486
80,36.22902727
81,35.26733314
82,35.63355954
83,35.87339343
84,35.91166671
85,35.77601282
86,15.11497491
87,35.80242747
88,36.77106277
89,35.23949483
90,36.6125214
91,36.01865963
92,35.4274272
93,36.08601506
94,35.73435343
95,36.90192863
96,35.75049649
97,36.41985338
98,36.88444811
99,36.90693023
100,35.93891353
101,44.64267522
102,35.9852859
103,36.52008138
104,35.9922442
105,36.17555838
106,36.07498483
107,44.47555264
108,34.30402848
109,38.6905629
110,35.51362201
111,39.59573936
112,33.63882829
113,36.3533749
114,35.59561024
115,34.17744171
116,36.0183824
117,36.58531517
118,35.14657274
119,430.3934725
120,282.43125
121,634.9488028
122,681.4462949
123,519.2843051
124,213.2340343
125,213.2544749
126,1073.426131
127,515.1370938
128,419.9771084
129,603.845334
130,279.142349
131,340.2550491
132,576.5285959
151,6127.378854
152,2895.903434
153,42652.87439
154,663300
155,16477.77792
156,10374.75802
157,100948.8515
158,53376.37399
159,40327.87056
160,9156.711669
161,5041.725603
162,11005.44063
163,125063.9076
164,13815.686
165,96201.18919
166,2163.311257
167,2296.160862
168,717.8689322
169,2041.826762
170,64.2531158
171,3434.542958
172,5497.599567
173,6394.634399
174,2638.083466
175,39314.94523
176,10027.01801
177,2370.088886
178,46751.03005
179,600
180,5823
181,92930.25647
183,4228.247896
184,44004.04303
185,964.9705413
186,6033.837307
187,27686.80481
188,56545.78403
189,3339.638418
190,80574.34667
191,3566.841696
192,36934.78414
193,4538.011975
194,3370.847059
195,4272.731076
196,33956.79465
197,34293.51905
198,2704.064246
199,2770.038728
200,4712.562121
201,4904.548003
202,3578.519746
203,5935.291053
204,4843.444191
205,47465.42245
206,8678.354497
207,76160.13731
208,47691.20152
209,5942.502628
210,5075.397946
211,58932.96602
212,156894.4747
213,79172.15662
214,30396.66705
215,97459.96832
216,9687.605653
217,4297.73521
218,2295.716161
219,1229.099946
220,129957.1968
221,6462.879824
222,2936.849973
223,5444.991739
224,3926.490401
225,31139.33059
226,4808.372698
227,5101.251125
228,4645.724683
229,35646.01972
230,72201.03036
231,2663.597437
232,3683.839281
233,6078.437864
234,3159.210238
235,25907.90279
236,6483.282873
237,6968.218815
238,57692.73617
239,5313.633477
240,108597.6472
241,3147.972006
242,5778.559074
243,37267.88426
244,1131.980119
245,2829.242495
246,5233.340653
247,23280.19619
248,78884.99507
249,1965.249833
250,6381.553163
251,33863.47002
252,4365.743894
253,2240.829259
254,4217.212002
255,14861.22949
256,1089.37071
257,11266.68294
258,3474.992652
259,7568.15548
260,223371.2872
261,21946.85275
262,71821.55175
263,9991.330389
264,5930.641623
265,2501.285616
266,3952.910878
267,28355.99379
268,11662.02042
269,66001.22679
270,24503.14168
271,1492.813281
272,53448.55091
273,103921.687
